store,item,amount
WAL*MART ’,OPEN,$24.00
WAL*MART ’,i DISCOUNT SUBTOTAL GIVEN,$0.57
WAL*MART ’,Total,$24.57
WAL*MART ’,Receipt_Total,$0.57
JOE'S,= Tatts Ui Nu ALT,$1.84
JOE'S,"ic UaTMEA,",$2.69
JOE'S,we 7 OE BROWN,$3.79
JOE'S,Total,$8.32
Give un @ survey 72 walmart com a,ark yout,$1.00
Give un @ survey 72 walmart com a,"SUIOIN,",$6.44
Give un @ survey 72 walmart com a,NETWK,$10.00
Give un @ survey 72 walmart com a,Total,$17.44
ISLS tee,Total,$0.00
Walmart,Total,$0.00
"Walmart >,< '",wot,$8.00
"Walmart >,< '",Total,$8.00
TRADER JOE'S,HARVEST BREAD,$1.98
TRADER JOE'S,"PASTA WHOLE WHEAT PENNE ORGAN, =",$1.49
TRADER JOE'S,BANANAS,$2.28
TRADER JOE'S,WIL HALF GAL,$2.99
TRADER JOE'S,A-LENON BAG 1 LB,$1.49
TRADER JOE'S,R-STRAMBEMRIES ORG 1 LB,$3.49
TRADER JOE'S,A-AVOCAONS HASS BAG ACT,$2.08
TRADER JOE'S,BUTTER QUARTERS,$3.19
TRADER JOE'S,11'S STRING CHEESE,$3.90
TRADER JOE'S,YEG BROCCOLI FLORETS ORGANIC,$2.49
TRADER JOE'S,LENTILS RED SPLIT,$1.89
TRADER JOE'S,BAG JAZZ 7 LS,$2.08
TRADER JOE'S,A-POTATO 846,$2.00
TRADER JOE'S,BLA,$38.00
TRADER JOE'S,7 O2,$1.98
TRADER JOE'S,SET TTA LAN Cun SMDSAGE,$3.98
TRADER JOE'S,TJ'S MONEY WUT D'S CEREAL,$2.48
TRADER JOE'S,WARVEST BREAD,$1.98
TRADER JOE'S,TOTAL,$904.00
TRADER JOE'S,Total,$983.77
TRADER JOE'S,Receipt_Total,$904.00
